Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Schizophrenia	46/1923	8.355766704001119E-14	1.5641995269890094E-10	0	0	4.4960694986572145	135.39121707404652	CHRM3;GPM6A;GABRB1;RTN1;CTNND2;STXBP1;ENO2;CPLX2;CPLX1;RIMS2;KIAA0513;GRM5;MAP2;LRRTM1;PIP4K2C;CTNNA2;BSN;SNCB;SULT4A1;YWHAG;ANKS1B;ZNF365;RBFOX1;CADM3;KCNB1;PDE4D;GAD1;HTR5A;SMARCA2;GABRG2;SNAP91;DNM1;SYN1;DKK3;GRIN1;GNAO1;CACNB2;DLG1;EEF1A2;PPP1R1B;SPATS2L;PLCB1;INA;VAMP2;HCN1;CDK5R1
Epileptic encephalopathy	18/468	7.75325807364606E-9	7.257049556932712E-6	0	0	6.16063492063492	115.05079778139331	GABRB1;IQSEC2;KCNB1;STXBP1;ABAT;TUBB4A;GABRG2;DNM1;GRIN1;GNAO1;NECAP1;SLC9A6;SCN8A;EEF1A2;KCNMA1;PLCB1;YWHAG;HCN1
Autistic Disorder	21/677	1.7479770007229E-8	1.0907376484510897E-5	0	0	4.997025580011898	89.25797837240262	RBFOX1;GABRB1;RAB3A;IQSEC2;PCDH10;CTNND2;STXBP1;PDE4D;GAD1;ABAT;KCNAB2;HTR5A;SYN1;SCAMP5;CACNB2;FER;GRM5;SLC9A6;MAP2;SCN8A;KCNMA1
West Syndrome	8/67	2.7064116002344287E-8	1.2666006289097126E-5	0	0	19.73778664007976	343.93205961103837	RIMS2;SCN8A;STXBP1;KCNAB2;PLCB1;SMARCA2;DNM1;GRIN1
Alzheimer's Disease	36/1982	1.329120531744346E-7	4.976227270850831E-5	0	0	3.0678314491264134	48.57474909825818	RAB3A;CRTC1;CTNND2;STXBP1;ENO2;CPLX2;NDRG2;CPLX1;RIMS2;GRM5;MAP2;TSPAN7;CTNNA2;SNCB;PLXNA4;ANKS1B;LMO4;KCNB1;GAD1;HOOK3;SNAP91;DNM1;SYN1;MAPK8IP1;GRIN1;KIAA1217;OLFM1;DLG1;SLC9A6;EEF1A2;PPP1R1B;KCNMA1;PLCB1;ABCG4;HCN1;CDK5R1
Epilepsy	26/1177	2.8210769104730654E-7	8.801759960675964E-5	0	0	3.5807477653919215	54.001174534266944	CHRM3;GABRB1;PCDH10;CTNND2;STXBP1;ABAT;SLC35F1;CPLX1;BSN;YWHAG;RBFOX1;IQSEC2;KCNB1;GAD1;KCNAB2;SMARCA2;GABRG2;DNM1;SYN1;GRIN1;GNAO1;SCN8A;EEF1A2;KCNMA1;PLCB1;HCN1
Seizures, Focal	9/129	3.982879238188498E-7	1.065135704841267E-4	0	0	10.964444444444444	161.57304744144687	RBFOX1;CTNND2;SCN8A;ABAT;PLCB1;GABRG2;SYN1;GRIN1;HCN1
Abnormal behavior	14/372	5.142308064246637E-7	1.2033000870337131E-4	0	0	5.865320154705629	84.9333176850548	GPM6A;SLC6A17;DCTN1;CTNND2;GAD1;HTR5A;TUBB4A;SYN1;GRIN1;LRFN5;GRM5;SCN8A;SULT4A1;HCN1
Tremor	11/226	7.536400529774273E-7	1.5675713101930488E-4	0	0	7.555551669872355	106.52081918543031	SLC6A17;DCTN1;CTNND2;SCN8A;STXBP1;GAD1;SLC35F1;GABRG2;ANO3;HCN1;CDK5R1
Mood Disorders	13/336	9.83143773864285E-7	1.8404451446739413E-4	0	0	6.001205303334673	83.01173517422323	DPP10;CHRM3;CRTC1;DCTN1;GAD1;ABAT;NDRG2;HTR5A;CNDP2;MAP2;PPP1R1B;PLCB1;HCN1
